,dataset,run_name,summary_path,Direction,backbone,batch_size,best_epoch,best_val_primary,epochs_trained,learning_rate,n_classes,seed,strategy,task,test_acc,test_auc,test_auc_macro,test_f1_macro,test_loss,test_primary,total_params,trainable_params,training_time_sec,unfreeze_pct
0,breastmnist,breastmnist_resnet18_partial_pct20_dirend_seed46,breastmnist/breastmnist_resnet18_partial_pct20_dirend_seed46/summary.json,end,resnet18,64,81,0.9415204678362572,96,0.0001,2,46,partial,classification,0.8782051282051282,0.9385964912280702,,0.8332489451476793,0.2917896111806233,0.9385964912280702,11177538,8394754,138.79412603378296,20
1,breastmnist,breastmnist_vit_base_patch16_224_partial_pct60_dirstart_seed48,breastmnist/breastmnist_vit_base_patch16_224_partial_pct60_dirstart_seed48/summary.json,start,vit_base_patch16_224,64,33,0.987468671679198,48,0.0001,2,48,partial,classification,0.8525641025641025,0.9085213032581452,,0.8050741565708698,0.6296148101488749,0.9085213032581452,85800194,56704514,131.76261043548584,60
2,breastmnist,breastmnist_swin_tiny_patch4_window7_224_full_pct0_seed45,breastmnist/breastmnist_swin_tiny_patch4_window7_224_full_pct0_seed45/summary.json,0,swin_tiny_patch4_window7_224,64,6,0.9933166248955724,21,0.0001,2,45,full,classification,0.8717948717948718,0.9321219715956558,,0.8438438438438438,0.3905131618181864,0.9321219715956558,27520892,27520892,43.72529864311218,0
3,breastmnist,breastmnist_vit_base_patch16_224_partial_pct20_dirstart_seed45,breastmnist/breastmnist_vit_base_patch16_224_partial_pct20_dirstart_seed45/summary.json,start,vit_base_patch16_224,64,14,0.9974937343358397,29,0.0001,2,45,partial,classification,0.8910256410256411,0.9404761904761904,,0.8582651915985249,0.2918599198261897,0.9404761904761904,85800194,21265154,60.63855457305908,20
4,breastmnist,breastmnist_vit_base_patch16_224_partial_pct60_dirstart_seed49,breastmnist/breastmnist_vit_base_patch16_224_partial_pct60_dirstart_seed49/summary.json,start,vit_base_patch16_224,64,26,0.9941520467836258,41,0.0001,2,49,partial,classification,0.8910256410256411,0.950501253132832,,0.847996790279131,0.4805827836195628,0.950501253132832,85800194,56704514,93.87494015693665,60
5,breastmnist,breastmnist_densenet121_full_pct0_seed46,breastmnist/breastmnist_densenet121_full_pct0_seed46/summary.json,0,densenet121,64,29,0.985797827903091,44,0.0001,2,46,full,classification,0.903846153846154,0.933375104427736,,0.8728744499375238,0.4066274364789327,0.933375104427736,6955906,6955906,82.73073410987854,0
6,breastmnist,breastmnist_vit_base_patch16_224_partial_pct60_dirend_seed43,breastmnist/breastmnist_vit_base_patch16_224_partial_pct60_dirend_seed43/summary.json,end,vit_base_patch16_224,64,51,0.9899749373433584,66,0.0001,2,43,partial,classification,0.8589743589743589,0.908312447786132,,0.8282282282282283,0.7366876204808553,0.908312447786132,85800194,56704514,516.3749134540558,60
7,breastmnist,breastmnist_resnet18_LP_pct0_seed46,breastmnist/breastmnist_resnet18_LP_pct0_seed46/summary.json,0,resnet18,64,3,0.6123642439431913,18,0.0001,2,46,LP,classification,0.7307692307692307,0.5043859649122807,,0.4222222222222222,0.6442663272221884,0.5043859649122807,11177538,1026,20.723750352859497,0
8,breastmnist,breastmnist_swin_tiny_patch4_window7_224_partial_pct20_dirend_seed45,breastmnist/breastmnist_swin_tiny_patch4_window7_224_partial_pct20_dirend_seed45/summary.json,end,swin_tiny_patch4_window7_224,64,31,0.990810359231412,46,0.0001,2,45,partial,classification,0.8910256410256411,0.9314954051796156,,0.8559243765958602,0.5892699758211771,0.9314954051796156,27520892,15961886,81.75520253181458,20
9,breastmnist,breastmnist_densenet121_full_pct0_seed42,breastmnist/breastmnist_densenet121_full_pct0_seed42/summary.json,0,densenet121,64,21,0.9899749373433584,36,0.0001,2,42,full,classification,0.9102564102564102,0.941938178780284,,0.8823275862068966,0.3262138168017069,0.941938178780284,6955906,6955906,101.31532263755798,0
10,breastmnist,breastmnist_vit_base_patch16_224_partial_pct40_dirend_seed42,breastmnist/breastmnist_vit_base_patch16_224_partial_pct40_dirend_seed42/summary.json,end,vit_base_patch16_224,64,15,0.9899749373433584,30,0.0001,2,42,partial,classification,0.8974358974358975,0.9454887218045112,,0.8696741854636592,0.4303076366583506,0.9454887218045112,85800194,35440898,60.89885640144348,40
11,breastmnist,breastmnist_resnet18_full_pct0_seed49,breastmnist/breastmnist_resnet18_full_pct0_seed49/summary.json,0,resnet18,64,45,0.953216374269006,60,0.0001,2,49,full,classification,0.8910256410256411,0.9381787802840434,,0.847996790279131,0.2920708159605662,0.9381787802840434,11177538,11177538,98.1646523475647,0
12,breastmnist,breastmnist_vit_base_patch16_224_LP_pct0_seed41,breastmnist/breastmnist_vit_base_patch16_224_LP_pct0_seed41/summary.json,0,vit_base_patch16_224,64,97,0.949874686716792,112,0.0001,2,41,LP,classification,0.8653846153846154,0.9329573934837092,,0.8122313291683384,0.3242407043774922,0.9329573934837092,85800194,1538,231.7135293483734,0
13,breastmnist,breastmnist_swin_tiny_patch4_window7_224_partial_pct20_dirstart_seed44,breastmnist/breastmnist_swin_tiny_patch4_window7_224_partial_pct20_dirstart_seed44/summary.json,start,swin_tiny_patch4_window7_224,64,26,0.9866332497911444,41,0.0001,2,44,partial,classification,0.8525641025641025,0.9156223893065998,,0.8238326704963912,0.3325947523117065,0.9156223893065998,27520892,672110,225.03099632263184,20
14,breastmnist,breastmnist_resnet18_LP_pct0_seed43,breastmnist/breastmnist_resnet18_LP_pct0_seed43/summary.json,0,resnet18,64,2,0.4561403508771929,17,0.0001,2,43,LP,classification,0.7307692307692307,0.4530075187969924,,0.4222222222222222,0.6103294094403585,0.4530075187969924,11177538,1026,19.92997717857361,0
15,breastmnist,breastmnist_resnet18_partial_pct60_dirend_seed46,breastmnist/breastmnist_resnet18_partial_pct60_dirend_seed46/summary.json,end,resnet18,64,76,0.965747702589808,91,0.0001,2,46,partial,classification,0.8910256410256411,0.93796992481203,,0.8534401768444322,0.3655291100343068,0.93796992481203,11177538,11020034,131.45168161392212,60
16,breastmnist,breastmnist_resnet18_full_pct0_seed41,breastmnist/breastmnist_resnet18_full_pct0_seed41/summary.json,0,resnet18,64,49,0.9674185463659148,64,0.0001,2,41,full,classification,0.8782051282051282,0.9323308270676692,,0.836197844708483,0.3136772364377975,0.9323308270676692,11177538,11177538,106.916348695755,0
17,breastmnist,breastmnist_densenet121_full_pct0_seed41,breastmnist/breastmnist_densenet121_full_pct0_seed41/summary.json,0,densenet121,64,15,0.9958228905597326,30,0.0001,2,41,full,classification,0.8717948717948718,0.913951545530493,,0.8260481712756467,0.3947541316350301,0.913951545530493,6955906,6955906,85.69479990005493,0
18,breastmnist,breastmnist_vit_base_patch16_224_partial_pct40_dirstart_seed45,breastmnist/breastmnist_vit_base_patch16_224_partial_pct40_dirstart_seed45/summary.json,start,vit_base_patch16_224,64,24,0.9916457811194654,39,0.0001,2,45,partial,classification,0.8717948717948718,0.9229323308270676,,0.8370927318295739,0.501557876666387,0.9229323308270676,85800194,35440898,95.02660489082336,40
19,breastmnist,breastmnist_swin_tiny_patch4_window7_224_partial_pct40_dirend_seed40,breastmnist/breastmnist_swin_tiny_patch4_window7_224_partial_pct40_dirend_seed40/summary.json,end,swin_tiny_patch4_window7_224,64,17,0.989139515455305,32,0.0001,2,40,partial,classification,0.8782051282051282,0.9289891395154553,,0.8485823754789272,0.5703740914662679,0.9289891395154553,27520892,19514870,59.98528170585632,40
20,breastmnist,breastmnist_vit_base_patch16_224_partial_pct40_dirend_seed47,breastmnist/breastmnist_vit_base_patch16_224_partial_pct40_dirend_seed47/summary.json,end,vit_base_patch16_224,64,6,0.9924812030075189,21,0.0001,2,47,partial,classification,0.8846153846153846,0.9442355889724312,,0.8461538461538463,0.2947212556997935,0.9442355889724312,85800194,35440898,41.22797656059265,40
21,breastmnist,breastmnist_swin_tiny_patch4_window7_224_partial_pct60_dirstart_seed43,breastmnist/breastmnist_swin_tiny_patch4_window7_224_partial_pct60_dirstart_seed43/summary.json,start,swin_tiny_patch4_window7_224,64,26,0.9849624060150376,41,0.0001,2,43,partial,classification,0.9166666666666666,0.9555137844611528,,0.8933024675119693,0.3490800410509109,0.9555137844611528,27520892,8223956,309.52868938446045,60
22,breastmnist,breastmnist_vit_base_patch16_224_partial_pct40_dirstart_seed41,breastmnist/breastmnist_vit_base_patch16_224_partial_pct40_dirstart_seed41/summary.json,start,vit_base_patch16_224,64,79,0.9866332497911444,94,0.0001,2,41,partial,classification,0.8846153846153846,0.9243943191311612,,0.8405632523279583,0.7739710112412771,0.9243943191311612,85800194,35440898,262.1509463787079,40
